#Category	Name	Featured	ShortDescription	Size	Price	Description	Ingredients	recipe
	Neem		lorem ipsum dolor	90 ml	2,000	This is the description of Neem	Neem, Moringa, Reilna??	
	Kalonji		lorem ipsum dolor	90 ml	2,000	This is the description of Kalonji	Kalonji, Fenugreek, Curry Leaf, Licorice, Amla, Shikakai	
	Brahmi		lorem ipsum dolor	90 ml	2,000	This is the description of Brahmi	Brahmi, Bhringraj, Vettiver, Rose, Aloe, Amla, Ginger	
	Manjistha		lorem ipsum dolor	90 ml	2,000	This is the description of Manjistha	Manjishla, Padmak, Saffron, Moringa, Pepper, Clove	
	Nagkesar		lorem ipsum dolor	90 ml	2,000	This is the description of Nagkesar	Nagkesar, Sandalwood, Jasmine, Vetiver	
	Milk Powder		lorem ipsum dolor	90 ml	2,000	This is the description of Milk Powder	Milk Powder, Moringa, Neem, Red Sandalwood	
	Tulsi		lorem ipsum dolor	90 ml	2,000	This is the description of Tulsi	Tulsi, Neem, Haldi, Kesar	
	Sleep Oil		lorem ipsum dolor	90 ml	2,000	This is the description of Sleep Oil	Lavender, Vetiver, Rose	
	Firming Oil		lorem ipsum dolor	90 ml	2,000	This is the description of Firming Oil	Lemon, Orange, Aswagandha	
	Vitiligo		lorem ipsum dolor	90 ml	2,000	This is the description of Vitiligo	Geru, Ginger	
	Eczema		lorem ipsum dolor	90 ml	2,000	This is the description of Eczema	Red Sandalwood, Fenugreek, Camphor	
